alt,dTs,MN,Fn,Fg,TSFC,W,BPR,FAR_core,FAR_ab,OPR,fan_PR,hpc_PR,hpt_PR,lpt_PR,T4,T7,LP_Nmech,HP_Nmech,mode
0.00,0.00,0.0010,17741.91,17746.67,1.5208,137.0873,0.7528,2.7263e-02,4.1533e-02,26.6509,4.1001,6.5001,2.6407,2.4478,3100.00,3800.00,10000.1012,13999.9643,wet
0.00,10.00,0.0010,16925.28,16929.92,1.5345,132.2731,0.7658,2.7197e-02,4.1527e-02,25.5244,3.9674,6.4336,2.6406,2.4338,3100.00,3800.00,9963.7494,14030.9690,wet
0.00,20.00,0.0010,16114.28,16118.79,1.5505,127.5607,0.7773,2.7115e-02,4.1519e-02,24.4532,3.8363,6.3742,2.6411,2.4188,3100.00,3800.00,9925.3397,14064.7555,wet
0.00,30.00,0.0010,15417.65,15422.06,1.5645,123.4541,0.7897,2.6998e-02,4.1529e-02,23.5000,3.7203,6.3167,2.6420,2.4071,3100.00,3800.00,9902.9662,14101.4866,wet
0.00,40.00,0.0010,14772.93,14777.24,1.5781,119.6151,0.8037,2.6901e-02,4.1540e-02,22.5894,3.6141,6.2504,2.6423,2.3945,3100.00,3800.00,9885.7157,14131.5649,wet
0.00,50.00,0.0010,14083.15,14087.35,1.5939,115.4539,0.8201,2.6843e-02,4.1546e-02,21.6058,3.5015,6.1705,2.6417,2.3811,3100.00,3800.00,9861.7607,14152.3194,wet
0.00,-10.00,0.0010,18358.02,18362.86,1.5124,140.7108,0.7429,2.7386e-02,4.1534e-02,27.5144,4.2013,6.5491,2.6376,2.4599,3100.00,3800.00,10113.4111,13954.6504,wet
0.00,-20.00,0.0010,19004.79,19009.71,1.5037,144.4751,0.7336,2.7510e-02,4.1538e-02,28.4045,4.2999,6.6059,2.6345,2.4716,3100.00,3800.00,10226.8983,13912.4172,wet
0.00,-30.00,0.0010,19611.41,19616.39,1.4961,147.9680,0.7218,2.7607e-02,4.1533e-02,29.2941,4.3884,6.6753,2.6302,2.4881,3100.00,3800.00,10415.0656,13880.5407,wet
2500.00,-20.00,0.0010,17884.71,17889.26,1.4952,134.8526,0.7226,2.7564e-02,4.1565e-02,29.2291,4.3724,6.6849,2.6312,2.4888,3100.00,3800.00,10407.8754,13894.0422,wet
2500.00,-10.00,0.0010,17310.25,17314.73,1.5032,131.5386,0.7316,2.7470e-02,4.1545e-02,28.3609,4.2841,6.6201,2.6353,2.4739,3100.00,3800.00,10215.9978,13931.4464,wet
2500.00,50.00,0.0010,13386.37,13390.28,1.5807,108.5534,0.8035,2.6903e-02,4.1543e-02,22.4595,3.5938,6.2495,2.6422,2.3917,3100.00,3800.00,9872.7774,14137.3723,wet
2500.00,40.00,0.0010,13946.87,13950.87,1.5671,111.8455,0.7913,2.7021e-02,4.1536e-02,23.3010,3.6951,6.3059,2.6417,2.4027,3100.00,3800.00,9882.5312,14098.0234,wet
2500.00,30.00,0.0010,14700.32,14704.44,1.5494,116.2736,0.7798,2.7086e-02,4.1555e-02,24.3817,3.8292,6.3673,2.6413,2.4201,3100.00,3800.00,9931.9787,14070.3212,wet
2500.00,20.00,0.0010,15393.29,15397.51,1.5358,120.3939,0.7661,2.7166e-02,4.1550e-02,25.4428,3.9559,6.4316,2.6412,2.4325,3100.00,3800.00,9964.0207,14038.2971,wet
2500.00,10.00,0.0010,16067.09,16071.41,1.5235,124.3505,0.7548,2.7284e-02,4.1544e-02,26.4513,4.0795,6.4840,2.6403,2.4435,3100.00,3800.00,9984.3265,13996.4337,wet
